load_dt,cntnt_id,invt_space_id,tdata_srv_type_id,srv_type_desc,served_content_cnt
10/14/15,552d884398e6b8749a044f2f,IS1064,2,Wireless,1
10/14/15,54af021cb01662da5cf89c0a,IS1095,2,Wireless,1
10/14/15,56170c7996c449533636e378,IS1051,2,Wireless,1
10/14/15,560c3a2696c449533636e0cd,IS1061,2,Wireless,1
10/14/15,5564f559ebdee613fee3f18e,IS1052,2,Wireless,1
10/14/15,55afe293323a7fc4009fd795,IS1061,2,Wireless,1
10/14/15,543fe3cdb01662da5cf889d5,IS1063,2,Wireless,1
10/14/15,561309e996c449533636e2e3,IS1049,2,Wireless,1
10/14/15,561d6bbb96c449533636e3c5,IS1157,2,Wireless,1
10/14/15,550a19f398e6b8749a044cf5,IS1058,2,Wireless,1
10/14/15,5531529298e6b8749a044f61,IS1062,2,Wireless,1
10/14/15,5605a2a696c449533636e08f,IS1164,2,Wireless,1
10/14/15,5609c15796c449533636e0ae,IS1057,2,Wireless,1
10/14/15,5537f82798e6b8749a044f89,IS1053,2,Wireless,1
10/14/15,560da7c696c449533636e0e4,IS1059,2,Wireless,1
10/14/15,5564f558ebdee613fee3f184,IS1054,2,Wireless,1
10/14/15,55c3fd7396c449533636db52,IS1058,2,Wireless,1
10/14/15,557b34a3323a7fc4009fd413,IS1054,2,Wireless,1
10/14/15,55bee26496c449533636d843,IS1209,2,Wireless,1
10/14/15,56046d4996c449533636e066,IS1060,2,Wireless,1
10/14/15,5519cfd298e6b8749a044de1,IS1063,2,Wireless,1
10/14/15,55dddcd696c449533636dd89,IS1263,2,Wireless,1
10/14/15,53bea2728fabd40ba70a737b,IS1016,2,Wireless,1
10/14/15,54d3f053b01662da5cf89ce4,IS1259,2,Wireless,1
10/14/15,561d6bbb96c449533636e3c5,IS1159,2,Wireless,1
10/14/15,55e0aa9696c449533636ddce,IS1231,2,Wireless,1
10/14/15,556e13b3ebdee613fee3f263,IS1162,2,Wireless,1
10/14/15,552d884398e6b8749a044f2f,IS1033,2,Wireless,1
10/14/15,559c3832323a7fc4009fd6be,IS1063,2,Wireless,1
10/14/15,561d6bb796c449533636e3c2,IS1034,2,Wireless,1
10/14/15,54af021cb01662da5cf89bef,IS1095,2,Wireless,1
10/14/15,5564f558ebdee613fee3f188,IS1054,2,Wireless,1
10/14/15,55661ca2ebdee613fee3f1c8,IS1164,2,Wireless,1
10/14/15,5564f559ebdee613fee3f198,IS1054,2,Wireless,1
10/14/15,5508ba6398e6b8749a044ced,IS1256,2,Wireless,1
10/14/15,557b34a3323a7fc4009fd412,IS1054,2,Wireless,1
10/14/15,557b34a2323a7fc4009fd410,IS1054,2,Wireless,1
10/14/15,554937c698e6b8749a045050,IS1053,2,Wireless,1
10/14/15,561d6bbb96c449533636e3c5,IS1058,2,Wireless,1
10/14/15,550b090798e6b8749a044d0e,IS1054,2,Wireless,1
10/14/15,5564f558ebdee613fee3f18a,IS1055,2,Wireless,1
10/14/15,55c3fd7396c449533636db51,IS1164,2,Wireless,1
10/14/15,543fe3cdb01662da5cf889d5,IS1033,2,Wireless,1
10/14/15,55e0d4d496c449533636ddd2,IS1049,2,Wireless,1
10/14/15,54af021cb01662da5cf89c07,IS1094,2,Wireless,1
10/14/15,5531529298e6b8749a044f61,IS1063,2,Wireless,1
10/14/15,552431a398e6b8749a044e9b,IS1058,2,Wireless,1
10/14/15,54af021db01662da5cf89c11,IS1096,2,Wireless,1
10/14/15,54aec83fb01662da5cf89bb0,IS1159,2,Wireless,1
10/14/15,549302bab01662da5cf89b16,IS1016,2,Wireless,1
10/14/15,54aec83fb01662da5cf89bb0,IS1058,2,Wireless,1
10/14/15,550a19f398e6b8749a044cf5,IS1059,2,Wireless,1
10/14/15,552c52e598e6b8749a044f1d,IS1053,2,Wireless,1
10/14/15,55b15e43323a7fc4009fd7a3,IS1044,2,Wireless,1
10/14/15,53a067b48fabd40ba70a72d6,IS1003,2,Wireless,1
10/14/15,551da39698e6b8749a044e60,IS1154,2,Wireless,1
10/14/15,55ad69c3323a7fc4009fd78a,IS1063,2,Wireless,1
10/14/15,556e2fd3ebdee613fee3f288,IS1157,2,Wireless,1
10/14/15,5501eaa598e6b8749a044c8d,IS1055,2,Wireless,1
10/14/15,54af021db01662da5cf89c12,IS1094,2,Wireless,1
10/14/15,5564f559ebdee613fee3f195,IS1054,2,Wireless,1
10/14/15,55c3fd7396c449533636db51,IS1157,2,Wireless,1
10/14/15,560c3a2696c449533636e0cd,IS1058,2,Wireless,1
10/14/15,561d6bb796c449533636e3c2,IS1033,2,Wireless,1
10/14/15,55e873f296c449533636de4d,IS1263,2,Wireless,1
10/14/15,561d95ec96c449533636e3cd,IS1049,2,Wireless,1
10/14/15,5553a7a5ab88a8b12bfb8630,IS1048,2,Wireless,1
10/14/15,5525aa4998e6b8749a044ed7,IS1001,2,Wireless,1
10/14/15,560c3a2696c449533636e0cd,IS1064,2,Wireless,1
10/14/15,5491dc02b01662da5cf89a4e,IS1038,2,Wireless,1
10/14/15,558b22cb323a7fc4009fd44e,IS1053,2,Wireless,1
10/14/15,55ad69c3323a7fc4009fd78a,IS1255,2,Wireless,1
